Country,Language,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,Amharic,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Finnish,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Northern Sami,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Swedish,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Skolt Sami,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,North Sami,,,,,,,,,,,,,,,,,,,,,,,,,
France,Basque,,,,,,,,,,,,,,,,,,,,,,,,,
France,Breton,,,,,,,,,,,,,,,,,,,,,,,,,
France,French,,,,,,,,,,,,,,,,,,,,,,,,,
France,Middle French,,,,,,,,,,,,,,,,,,,,,,,,,
France,Norman,,,,,,,,,,,,,,,,,,,,,,,,,
France,Occitan,,,,,,,,,,,,,,,,,,,,,,,,,
France,Old French,,,,,,,,,,,,,,,,,,,,,,,,,
France,Corsican,,,,,,,,,,,,,,,,,,,,,,,,,
France,Old Provençal,,,,,,,,,,,,,,,,,,,,,,,,,
Gambia,Wolof,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,Georgian,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,German,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Gothic,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Low German,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Lower Sorbian,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Middle High German,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Middle Low German,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,North Frisian,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Old Saxon,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Yiddish,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Saterfriesisch,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Upper Sorbian,,,,,,,,,,,,,,,,,,,,,,,,,
Great Britain,Latin,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Ancient Greek,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Modern Greek,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Greek,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,Greenlandic,,,,,,,,,,,,,,,,,,,,,,,,,
Herzegovina,Serbo Croatian,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Hungarian,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,Icelandic,,,,,,,,,,,,,,,,,,,,,,,,,
India,Bengali,,,,,,,,,,,,,,,,,,,,,,,,,
India,Hindi,,,,,,,,,,,,,,,,,,,,,,,,,
India,Kannada,,,,,,,,,,,,,,,,,,,,,,,,,
India,Khaling,,,,,,,,,,,,,,,,,,,,,,,,,
India,Sanskrit,,,,,,,,,,,,,,,,,,,,,,,,,
India,Telugu,,,,,,,,,,,,,,,,,,,,,,,,,
India,Malayalam,,,,,,,,,,,,,,,,,,,,,,,,,
India,Panjabi,,,,,,,,,,,,,,,,,,,,,,,,,
India,Assamese,,,,,,,,,,,,,,,,,,,,,,,,,
India,Bhojpuri,,,,,,,,,,,,,,,,,,,,,,,,,
India,Hindi English,,,,,,,,,,,,,,,,,,,,,,,,,
India,Marathi,,,,,,,,,,,,,,,,,,,,,,,,,
India,Moksha,,,,,,,,,,,,,,,,,,,,,,,,,
India,Pnar,,,,,,,,,,,,,,,,,,,,,,,,,
India,Sindhi,,,,,,,,,,,,,,,,,,,,,,,,,
India,Sorani,,,,,,,,,,,,,,,,,,,,,,,,,
India,Tamil,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,Indonesian,,,,,,,,,,,,,,,,,,,,,,,,,
"Iran, Islamic Republic of",Arabic,,,,,,,,,,,,,,,,,,,,,,,,,
"Iran, Islamic Republic of",Armenian,,,,,,,,,,,,,,,,,,,,,,,,,
"Iran, Islamic Republic of",Armenian,,,,,,,,,,,,,,,,,,,,,,,,,
"Iran, Islamic Republic of",Azerbaijani,,,,,,,,,,,,,,,,,,,,,,,,,
"Iran, Islamic Republic of",Persian,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,Arabic,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,Central Kurdish,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,Akkadian,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,Assyrian,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Irish,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Old Irish,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,English,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,Arabic,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,Hebrew,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,Ladino,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Friulian,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Italian,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Ladin,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Neapolitan,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Venetian,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Istriot,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Sardinian,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Sicilian,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,Japanese,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,Arabic,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,Kazakh,,,,,,,,,,,,,,,,,,,,,,,,,
Korea,Korean,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,Arabic,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,Arabic,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,Akkadian,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,Kirghiz,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,Kyrgyz,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,Latvian,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,Livonian,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,Livvi,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,Arabic,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,Hittite,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,Arabic,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,Maghrebi Arabic French,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,Lithuanian,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,Yiddish,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,Luxembourgish,,,,,,,,,,,,,,,,,,,,,,,,,
Macedonia,Macedonian,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,Malagasy,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Malay,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,Bambara,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,Maltese,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,Arabic,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,Spanish,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,Classical Nahuatl,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,Yucatec Maya,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,Gagauz,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,Buriat,,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,Serbo Croatian,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,Arabic,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,Maghrebi Arabic French,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,Khaling,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Dutch,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Old Saxon,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Limburgan,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Middle Dutch,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Old Dutch,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands ,West Frisian,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,English,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,Hausa,,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,Arabic,,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,Hausa,,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,Yoruba,,,,,,,,,,,,,,,,,,,,,,,,,
Nigerian,Naija,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,Northern Sami,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,Norwegian Bokmål,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,Norwegian Nynorsk,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,Old Norse,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,Skolt Sami,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,North Sami,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,Norwegian,,,,,,,,,,,,,,,,,,,,,,,,,
Oman,Arabic,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,Pashto,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,Urdu,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,Panjabi,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,Sindhi,,,,,,,,,,,,,,,,,,,,,,,,,
Palestinian West Bank and Gaza,Arabic,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,Quechua,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,Cusco Quechua,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,Shipibo Konibo,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,Tagalog,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Kashubian,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Polish,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Yiddish,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Wymysorys,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,Portuguese,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,Mirandese,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,Old Portuguese,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,Arabic,,,,,,,,,,,,,,,,,,,,,,,,,
Republic of Azerbaijan,Aramaic,,,,,,,,,,,,,,,,,,,,,,,,,
Republic of Croatia,Venetian,,,,,,,,,,,,,,,,,,,,,,,,,
Republic of Karelia,Ludian,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Romanian,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Macedo-Romanian,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,Adyghe,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,Bashkir,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,Kabardian,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,Karelian,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,Khakas,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,Russian,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,Tatar,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,Veps (Vepsian),,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,Votic,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,Buriat,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,Chechen,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,Romany,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,Dargwa,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,Erzya,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,Komi Permyak,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,Komi Zyrian,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,Old Russian,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Arabic,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Scottish Gaelic,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,Wolof,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,Serbo Croatian,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia and Montenegro,Albanian,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia and Montenegro,Serbian,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,Slovak,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Slovenian,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Venetian,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,Arabic,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,Somali,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,Zulu,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,Afrikaans,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,Tswana,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Asturian,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Basque,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Catalan,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Galician,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Spanish,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Aragonese,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,Tamil,,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,Arabic,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Ingrian,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Northern Sami,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Swedish,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Old Norse,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,North Sami,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Swedish Sign Language,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,French,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,German,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Italian,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Romansch,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Swiss German,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Romansh,,,,,,,,,,,,,,,,,,,,,,,,,
Syria,Arabic,,,,,,,,,,,,,,,,,,,,,,,,,
Syria,Classical Syriac,,,,,,,,,,,,,,,,,,,,,,,,,
Syria,Hittite,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,Tajik,,,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,Swahili,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,Thai,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,Arabic,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,Maghrebi Arabic French,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Turkish,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Hittite,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Ladino,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Kurmanji,,,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,Turkmen,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,Ukrainian,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,Yiddish,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,Arabic,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Cornish,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,English,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Manx,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Welsh,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Jèrriais,,,,,,,,,,,,,,,,,,,,,,,,,
United States,Haida,,,,,,,,,,,,,,,,,,,,,,,,,
United States,Navajo,,,,,,,,,,,,,,,,,,,,,,,,,
United States,English,,,,,,,,,,,,,,,,,,,,,,,,,
United States,Northern Tiwa,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,Crimean Tatar,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,Uzbek,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,Vietnamese,,,,,,,,,,,,,,,,,,,,,,,,,
Yemen,Arabic,,,,,,,,,,,,,,,,,,,,,,,,,
